Game,Date,Home,Opponent,Outcome,PTS,OPPPTS,FG,FGA,FGPERC,3P,3PA,3PPERC,FT,FTA,FTPERC,ORB,TRB,AST,STL,BLK,TOV,PF,OPPFG,OPPFGA,OPPFGPERC,OPP3P,OPP3PA,OPP3PPERC,OPPFT,OPPFTA,OPPFTPERC,OPPORB,OPPTRB,OPPAST,OPPSTL,OPPBLK,OPPTOV,OPPPF
24,"02-14-19",NA,Illinois,L,56,63,17,47,36.20%,2,13,15.40%,20,25,80.00%,8,33,8,8,1,18,22,24,54,44.40%,6,21,28.60%,9,17,52.90%,8,31,10,7,6,13,23
25,"02-17-19",@,Michigan State,L,44,62,18,56,32.10%,4,15,26.70%,4,9,44.40%,7,34,9,7,2,15,18,21,55,38.20%,10,26,38.50%,10,12,83.30%,7,37,17,7,8,10,15
26,"02-20-19",NA,Northwestern,W,63,49,25,54,46.30%,4,20,20.00%,9,10,90.00%,5,34,18,3,4,8,12,18,57,31.60%,5,29,17.20%,8,12,66.70%,8,33,8,4,0,7,15
27,"02-23-19",@,Maryland,L,62,72,23,63,36.50%,11,33,33.30%,5,7,71.40%,9,27,14,9,3,7,18,23,47,48.90%,6,17,35.30%,20,25,80.00%,9,36,12,3,5,15,11
28,"02-26-19",NA,Iowa,W,90,70,28,58,48.30%,12,32,37.50%,22,24,91.70%,8,33,19,7,3,10,12,26,55,47.30%,6,19,31.60%,12,14,85.70%,4,25,10,4,1,10,18
29,"03-02-19",@,Purdue,L,51,86,16,48,33.30%,2,19,10.50%,17,25,68.00%,7,23,9,5,1,9,18,33,59,55.90%,11,21,52.40%,9,16,56.30%,9,35,17,6,2,8,19
30,"03-06-19",@,Northwestern,L,50,68,17,64,26.60%,4,26,15.40%,12,17,70.60%,9,33,8,2,2,9,15,26,58,44.80%,5,20,25.00%,11,13,84.60%,7,35,15,6,7,5,17
31,"03-10-19",NA,Wisconsin,L,67,73,25,66,37.90%,9,25,36.00%,8,15,53.30%,7,38,15,5,3,7,22,27,65,41.50%,7,21,33.30%,12,20,60.00%,10,43,13,1,3,8,12
32,"03-14-19",N,Indiana,W,79,75,28,62,45.20%,8,22,36.40%,15,18,83.30%,10,36,22,12,4,16,16,27,62,43.50%,11,27,40.70%,10,15,66.70%,9,28,18,9,6,17,18
33,"03-15-19",N,Michigan State,L,70,77,24,52,46.20%,12,26,46.20%,10,10,100.00%,3,20,19,6,1,15,21,26,50,52.00%,7,17,41.20%,18,21,85.70%,5,24,20,8,3,11,16
